,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
11/25/2008,14397.99,13529.58,8479.47
11/26/2008,14829.9,13931.99,8726.61
11/27/2008,14829.9,13931.99,8726.61
11/28/2008,15003.96,14095.51,8829.04
12/1/2008,13848.46,13009.97,8149.09
12/2/2008,14310.45,13443.1,8419.09
12/3/2008,14613.5,13725.06,8591.69
12/4/2008,14247.05,13380.88,8376.24
12/5/2008,14687.87,13794.91,8635.42
12/8/2008,15196.03,14272.17,8934.18
12/9/2008,14782.98,13884.23,8691.33
12/10/2008,14902.19,13996.2,8761.42
12/11/2008,14576.04,13687.68,8565.09
12/12/2008,14685.96,13790.9,8629.68
12/15/2008,14576.17,13687.49,8564.53
12/16/2008,15188.19,14262.21,8924.14
12/17/2008,15018.34,14102.71,8824.34
12/18/2008,14645.03,13752.16,8604.99
12/19/2008,14600.97,13710.79,8579.11
12/22/2008,14499.98,13615.96,8519.77
12/23/2008,14333.21,13458.25,8419.49
12/24/2008,14420.82,13539.33,8468.48
12/25/2008,14420.82,13539.33,8468.48
12/26/2008,14500.98,13614.59,8515.55
12/29/2008,14447.14,13564.03,8483.93
12/30/2008,14761.26,13858.95,8668.39
12/31/2008,14945.17,14031.63,8776.39
1/1/2009,14945.17,14031.63,8776.39
1/2/2009,15390.33,14448.08,9034.69
1/5/2009,15250.99,14317.27,8952.89
1/6/2009,15356.96,14416.75,9015.1
1/7/2009,14952.8,14033.43,8769.7
1/8/2009,14906.36,13989.84,8742.46
1/9/2009,14662.05,13760.55,8599.18
1/12/2009,14448.56,13560.19,8473.97
1/13/2009,14405.24,13519.54,8448.56
1/14/2009,13981.67,13122.01,8200.14
1/15/2009,14008.44,13145.52,8212.49
1/16/2009,14125.68,13255.54,8281.22
1/19/2009,14125.68,13255.54,8281.22
1/20/2009,13559.15,12723.91,7949.09
1/21/2009,14040.69,13174.2,8228.1
1/22/2009,13861.01,13005.61,8122.8
1/23/2009,13783.81,12933.18,8077.56
1/26/2009,13849.46,12994.77,8116.03
1/27/2009,13949.63,13088.76,8174.73
1/28/2009,14292.13,13410.12,8375.45
